Date,Returns_DAX,Returns_FTSE 100,Returns_CAC 40,Returns_RTSI,Returns_IBEX 35,Returns_AEX,Returns_SMI,Returns_OMXS30,Returns_WIG20,Returns_BEL 20,Returns_ATX,Returns_Oslo OBX,Returns_TA 35,Returns_OMXC20,Returns_ISEQ Overall,Returns_	FTSE/Athex 20,Returns_FTSE Czech Republic,Returns_Budapest SE,Returns_SAX,Volatility_DAX,Volatility_FTSE 100,Volatility_CAC 40,Volatility_RTSI,Volatility_IBEX 35,Volatility_AEX,Volatility_SMI,Volatility_OMXS30,Volatility_WIG20,Volatility_BEL 20,Volatility_ATX,Volatility_Oslo OBX,Volatility_TA 35,Volatility_OMXC20,Volatility_ISEQ Overall,Volatility_	FTSE/Athex 20,Volatility_FTSE Czech Republic,Volatility_Budapest SE,Volatility_SAX,Classification_1D_Europe
2015-03-24,0.009191944904899213,-0.0025595165264045688,0.006656963495924578,0.024308149767364385,0.010984779678075677,0.0022284467318189104,-0.00788047090465962,0.0017119312819753676,-0.0008577271586265717,0.0036796684856040232,0.0021064431791149108,-0.0033186950908329262,-0.0072717232373421675,0.009329906852354044,-0.0012741436038237123,0.03236500772683348,0.0037216171691306626,0.010592838529663015,-4.1520479982658046e-05,8.449185113470261e-05,6.5511248489381095e-06,4.4315162986072384e-05,0.0005908861451126172,0.00012066538457586438,4.965974836554382e-06,6.210182167918682e-05,2.930708714205826e-06,7.356958786456121e-07,1.3539960163947406e-05,4.437102866839732e-06,1.1013737105918565e-05,5.2877958840502055e-05,8.704716187360294e-05,1.6234419231648772e-06,0.0010474937251579905,1.3850434353568127e-05,0.0001122082281155133,1.7239502579903076e-09,0
2015-03-26,-0.013586312098180243,-0.017873262084503554,-0.016232749303942265,-0.013334293287327043,-0.010897468597371085,-0.024954849674755048,-0.022876407330657725,-0.01520950874617904,-0.015006410603659466,-0.016678345079773695,-0.02236225934048219,-0.015062926402072883,-0.009010954598724462,-0.0255420727686644,-0.023298298363632383,-0.046411841907781935,-0.017336441372908722,0.033126331304677264,-0.014386330420679392,0.00018458787642915885,0.00031945349754135233,0.0002635021499646381,0.00017780337747245505,0.00011875482183068893,0.0006227445222896221,0.0005233300123581705,0.00023132915630009673,0.00022519235920562326,0.0002781671946000114,0.000500070642810983,0.00022689175179426433,8.119730278027354e-05,0.0006523974813197474,0.0005428107066408354,0.0021540590692729436,0.00030055219947630125,0.001097353825707241,0.00020696650297296528,1
2015-03-30,0.020254193367635443,-0.0005657602082036615,0.015296828356330559,0.01181089057572639,0.006552721322090916,0.016961652639841337,0.013089826375915364,0.006875291001118621,0.008401773347739035,0.01601152873108349,0.01380640447783487,0.013853392280938584,0.016029614065732438,0.0665960950917394,0.01676381153439491,0.00601921810315464,0.002246639296018566,-0.007216271484071606,0.010142159775719441,0.00041023234897356756,3.200846131866504e-07,0.00023399295776303867,0.00013949713619178244,4.293815672498492e-05,0.00028769766027463657,0.00017134355455160954,4.7269626350062695e-05,7.058979538677799e-05,0.00025636905230631206,0.00019061680460557876,0.00019191647768956874,0.0002569485270963272,0.004435039881467997,0.00028102537716071186,3.623098657334454e-05,5.047388126414798e-06,5.2074574131825025e-05,0.00010286340491622142,0
2015-03-31,-0.009965083556103736,-0.017328584642666057,-0.009860554573472206,0.0016824303713893472,-0.0006941371720173857,-0.01073071977476952,-0.007986443746889742,-0.01158914875499747,-0.00020866458912450648,-0.009902974882874834,-0.00251096939498465,-0.0013713880772582708,0.0035924381845420872,-0.00865950804494413,-0.013514075949544046,0.007462558361674372,0.003949274253145688,-0.01795741128194756,0.005945098267808217,9.930289028012907e-05,0.0003002798457180419,9.723053649642364e-05,2.8305719545732966e-06,4.818264135762938e-07,0.00011514834688462964,6.378328372223426e-05,0.0001343083688654594,4.354091075449911e-08,9.806891153084983e-05,6.3049673025495795e-06,1.880705258446137e-06,1.2905612109756048e-05,7.498707958045211e-05,0.00018263024877004482,5.568977730139609e-05,1.5596767126559427e-05,0.00032246861994901743,3.534419341389626e-05,0
2015-04-01,0.002938141389478836,0.005368670009096652,0.005661741811999529,0.03349598115339467,0.004218118151129501,0.001286436442663075,0.0009065905809969905,0.0010547702358086816,-0.0013532027859320041,0.004498939092132899,0.012563093707737534,0.00492467327127718,0.0031075379671724043,0.011450009707898483,-0.00024257488372346513,-0.011544644574404923,0.005888246159178238,-0.0017552965215484404,0.019375837057100616,8.632674824568624e-06,2.8822617666573846e-05,3.205532034574371e-05,0.0011219807534285711,1.779252073688816e-05,1.654918721011627e-06,8.219064815524609e-07,1.1125402503479019e-06,1.8311577798541374e-06,2.024045295472159e-05,0.00015783132350939442,2.4252406828831878e-05,9.656792217418e-06,0.00013110272231096952,5.884257421345263e-08,0.00013327881834933702,3.4671442831077275e-05,3.0810658785600545e-06,0.00037542306166331345,0
2015-04-07,0.010125724341715055,0.02211505633288652,0.01742263368361725,0.06467855812403943,0.013794032531406146,0.026162790042364478,0.013424479557729607,0.016597151920716466,0.01166736686867283,0.025454667977432142,0.015766923221785,0.03972466653837188,0.018180219890131244,0.011596900175474148,0.018912649674630667,0.024632536293456457,-0.003497117292732299,0.0402785652299677,0.02417982690817191,0.00010253029344440077,0.0004890757166067443,0.00030354816447351435,0.0041833158810047465,0.00019027533347749104,0.0006844915828008458,0.0001802166513959001,0.0002754654518793423,0.00013612744964820443,0.0006479401218413093,0.000248595867881663,0.0015780491315848426,0.0003305203952535237,0.00013448809367991231,0.0003576883177153075,0.0006067618442484496,1.2229829359127284e-05,0.0016223628169847629,0.0005846640293091544,0
2015-04-08,-0.007256840588925635,-0.0035052463443313534,-0.0027857580916242184,0.017412689763581287,-0.006414115892443342,-0.011737904591023482,-0.001397190826026337,-0.006299884910252686,0.0016674925442101496,-0.0020912109000366464,0.0032789703724524152,-0.004544064670962336,-0.005985058284446057,0.0029140677973242555,0.003904039588821722,-0.013696772701634342,-0.0016837633107730594,0.01659751734227546,-0.0018668949435262031,5.266173533307856e-05,1.2286751934448318e-05,7.760448145049807e-06,0.00030320176480272854,4.114088268169425e-05,0.00013777840418797014,1.9521422043321577e-06,3.96885498824295e-05,2.780531384996438e-06,4.373163028432081e-06,1.075164670342073e-05,2.0648523733888038e-05,3.582092266821637e-05,8.491791127402238e-06,1.524152511108728e-05,0.0001876015824402357,2.8350588867054543e-06,0.00027547758192713467,3.4852967301637053e-06,0
2015-04-14,0.01580516475578545,0.01967568595524675,0.01568368745382164,0.027159932955645914,0.004212298931359709,0.017348045285328406,0.017982164231412252,0.008630106452951333,0.004144286145787953,0.014966697550918515,0.01445634692722372,0.020035926866473038,0.0168069163989532,0.011238982233138316,0.017119373980115274,-0.017422272821428823,0.019521529816682922,0.054726438355344825,-0.0007556925884138721,0.00024980323295752257,0.00038713261780949426,0.00024597805214916237,0.000737661958155181,1.7743462287134143e-05,0.00030095467522180515,0.0003233582304454822,7.447873738927224e-05,1.717510765816997e-05,0.00022400203558067027,0.0002089859664802507,0.0004014383653986561,0.00028247243884140194,0.00012631472163679872,0.00029307296547104785,0.00030353559026429747,0.00038109012638364037,0.002994983055061357,5.710712881836579e-07,0
2015-04-15,0.00030581865192437534,0.003036968078021849,0.006930619649375703,0.03561580398293792,0.006276875027262117,0.0030988192054605002,0.0013723079370624339,0.005404468019742101,0.01647213948972294,0.001582758543544847,0.008653011301562824,0.007973230929965991,0.00462350248068362,0.00430164518472543,0.009687517916734124,-0.021930703493970118,-0.009618245133122835,0.004649876740723939,7.957348615631791e-05,9.352504786484224e-08,9.223175106923723e-06,4.80334887243126e-05,0.0012684854933510566,3.9399160107866804e-05,9.602680468130847e-06,1.8832290741245528e-06,2.9208274576415108e-05,0.0002713313793688899,2.5051246071642053e-06,7.487460458497395e-05,6.357241146256634e-05,2.137677518888759e-05,1.8504151295271478e-05,9.384800338704466e-05,0.0004809557557404331,9.25106394408411e-05,2.1621353703925478e-05,6.331939699069719e-09,0
2015-04-16,-0.019189865061291955,-0.005132371198045296,-0.005699119524858169,0.008770450697275667,-0.014254135083165255,-0.00602881813403861,-0.0031815782276040567,-0.011571358613750044,0.011375946644511145,-0.009179309918812223,-0.006049996035822291,-0.002433699589302886,-0.0001719583390689765,-0.011312463627612667,0.0027333660374877448,0.006315145711524446,0.008204432338036508,-0.008054494195555824,-0.009433655122907047,0.0003682509210705937,2.6341234114524903e-05,3.24799633586196e-05,7.692080543334323e-05,0.00020318036696912256,3.634664809331279e-05,1.0122440018364172e-05,0.00013389634016800734,0.00012941216205876438,8.425973058560445e-05,3.6602452033465434e-05,5.922893690973036e-06,2.9569670375361092e-08,0.00012797183332605952,7.4712898948914555e-06,3.9881065357785596e-05,6.73127099894192e-05,6.487487674624246e-05,8.899384897795037e-05,0
